ID,Style,Category,Artist,Title,anger,disgust,fear,joy,neutral,sadness,surprise
58c6237dedc2c9c7dc0de1ae,Modern Art,Impressionism,Charles Courtney Curran,In the Luxembourg Garden,0.007575757575757576,0.0,0.007575757575757576,0.8642676767676767,0.0,0.10542929292929293,0.015151515151515152
577280dfedc2cb3880f28e76,Modern Art,Neo-Expressionism,Keith Haring,The Marriage of Heaven and Hell,0.0,0.058823529411764705,0.1764705882352941,0.17647058823529413,0.0,0.2941176470588235,0.2941176470588235
57727f2dedc2cb3880ed5fa9,Modern Art,Post-Impressionism,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,0.0,0.0,0.0,0.9,0.0,0.0,0.10000000000000002
58d1240cedc2c94f900fc610,Modern Art,Cubism,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.5454545454545455,0.27272727272727276
57727de7edc2cb3880e91f26,Post Renaissance Art,Romanticism,David Wilkie,The Defence of Sarago&#231;a,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.3,0.0,0.33333333333333326,0.06666666666666667
57728297edc2cb3880f81f5b,Modern Art,Expressionism,Lyonel Feininger,"In a Village Near Paris (Street in Paris, Pink Sky)",0.0,0.0371900826446281,0.13553719008264464,0.38264462809917354,0.0,0.1975206611570248,0.24710743801652893
5772797dedc2cb3880db5504,Post Renaissance Art,Realism,Nikolai Ge,Last Supper,0.0,0.0,0.7,0.1,0.0,0.2,0.0
57726e48edc2cb3880b69b14,Post Renaissance Art,Realism,Charles-Francois Daubigny,Spring,0.0,0.0,0.06666666666666667,0.7999999999999999,0.0,0.13333333333333333,0.0
57728255edc2cb3880f7644a,Contemporary Art,Minimalism,Robert Smithson,Mirror and Crushed Shells,0.08316633266533066,0.08316633266533066,0.0,0.08316633266533066,0.08316633266533066,0.16633266533066132,0.501002004008016
5772843bedc2cb3880fd334d,Contemporary Art,Minimalism,Richard Serra,One Ton Prop (House of Cards),0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.18181818181818182,0.5454545454545454
577285b4edc2cb388001c741,Modern Art,Pop Art,Patrick Procktor,"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints",0.0,0.07698815566835872,0.0,0.8460236886632826,0.0,0.0,0.07698815566835872
5772898cedc2cb38800df3fd,Post Renaissance Art,Rococo,George Romney,Admiral John Forbes (1714–1796),0.0,0.0,0.0,0.25000000000000006,0.0,0.625,0.12500000000000003
5772849eedc2cb3880fe72ab,Modern Art,Color Field Painting,Ron Gorchov,Untitled,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.5
577282b3edc2cb3880f89e19,Modern Art,Color Field Painting,Louis Cane,Toile d&#233;coup&#233;e,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.2222222222222222,0.33333333333333326
577284a7edc2cb3880fe813a,Modern Art,Cubism,Francis Picabia,Dances at the Spring,0.0,0.0,0.0,0.4284490145672665,0.0,0.0,0.5715509854327335
57727ca4edc2cb3880e54008,Renaissance Art,Early Renaissance,Domenico Veneziano,Madonna and Child,0.05246523388116309,0.05246523388116309,0.0,0.6852085967130215,0.0,0.15739570164348923,0.05246523388116309
57726ff3edc2cb3880bc56a7,Post Renaissance Art,Neoclassicism,Jacques-Louis David,"The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine by Pope Pius VII, 2nd December 1804",0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333
577288deedc2cb38800bdf0f,Modern Art,Art Informel,Karl Otto Gotz,Untitled,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3846153846153846,0.3846153846153846
57726e25edc2cb3880b60a8b,Modern Art,Expressionism,Edvard Munch,The Sick Child (later),0.0,0.0,0.06671554252199415,0.06671554252199415,0.0,0.7998533724340177,0.06671554252199415
577288ddedc2cb38800bde1d,Contemporary Art,Minimalism,Herbert Zangs,Peinture-Relief,0.0,0.14285714285714288,0.0,0.0,0.14285714285714288,0.28571428571428575,0.4285714285714286
577287d9edc2cb38800895a7,Modern Art,Neo-Expressionism,Joan Brown,Self Portrait with Cloud &amp; Cigarette,0.06666666666666665,0.06666666666666665,0.2666666666666666,0.06666666666666665,0.0,0.3333333333333333,0.19999999999999998
57727dd9edc2cb3880e90d51,Post Renaissance Art,Baroque,Adriaen van de Venne,Princes Maurits and Frederik Hendrik of Orange at the Valkenburg horse fair,0.038751345532830994,0.02906350914962325,0.08611410118406888,0.6630785791173306,0.009687836383207749,0.08719052744886974,0.08611410118406888
57726f83edc2cb3880bb117d,Post Renaissance Art,Realism,Honore Daumier,Don Quixote and Sancho Pansa Having a Rest under a Tree,0.0,0.043478260869565216,0.2173913043478261,0.2173913043478261,0.0,0.47826086956521746,0.043478260869565216
577286cdedc2cb3880056d93,Modern Art,Abstract Art,Victor Servranckx,Red Rotation,0.0,0.09975961538461538,0.0,0.4002403846153846,0.0,0.09975961538461538,0.4002403846153846
57728742edc2cb388006c6c8,Modern Art,Art Informel,Antonio Areal,Opus II n&#186; 40,0.0,0.0834097158570119,0.4995417048579285,0.0,0.0,0.1668194317140238,0.2502291475710357
577284fbedc2cb3880ffab14,Modern Art,Neo-Expressionism,Corneille,Planets,0.0,0.2142857142857143,0.07142857142857142,0.07142857142857142,0.0,0.2857142857142857,0.35714285714285715
577287afedc2cb388007fc5b,Contemporary Art,Minimalism,Antonio Calderara,Spazio Luce,0.0,0.33333333333333337,0.0,0.33333333333333337,0.0,0.16666666666666669,0.16666666666666669
57728459edc2cb3880fdb65d,Modern Art,Lyrical Abstraction,Afro,Figure,0.052631578947368425,0.15789473684210525,0.15789473684210525,0.10526315789473685,0.0,0.2631578947368421,0.2631578947368421
5772819cedc2cb3880f501c7,Modern Art,Surrealism,Eileen Agar,The Reaper,0.01737451737451737,0.17567567567567566,0.05308880308880309,0.1583011583011583,0.07046332046332046,0.10424710424710423,0.42084942084942084
577286a6edc2cb388004df04,Contemporary Art,Minimalism,Lynda Benglis,Corner Piece,0.0,0.09090909090909091,0.18181818181818182,0.27272727272727276,0.0,0.09090909090909091,0.36363636363636365
57727fe2edc2cb3880ef5ab8,Modern Art,Color Field Painting,Alma Woodsey Thomas,Atmospheric Effects I,0.0,0.029162746942615243,0.07337723424270931,0.5145813734713076,0.0,0.14769520225776106,0.2351834430856068
57727014edc2cb3880bce964,Post Renaissance Art,Baroque,Francisco de Zurbaran,St. Apollonia,0.0,0.0,0.07138263665594856,0.8572347266881029,0.0,0.07138263665594856,0.0
57726f48edc2cb3880ba012f,Post Renaissance Art,Romanticism,Francisco Goya,Charles IV of Spain and his family,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.09090909090909091
577271d3edc2cb3880c2e4cf,Post Renaissance Art,Romanticism,Orest Kiprensky,Portrait of Alexander Pushkin,0.0,0.0,0.125,0.625,0.0,0.25,0.0
577284e7edc2cb3880ff375a,Modern Art,Post-Impressionism,Roger Fry,"View on the Cote d&#39;Azur, Menton",0.0,0.0,0.0,0.6666666666666667,0.11111111111111112,0.0,0.22222222222222224
57726e47edc2cb3880b699f7,Post Renaissance Art,Realism,Charles-Francois Daubigny,French Coastal Scene,0.0,0.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.14285714285714285
57728984edc2cb38800de804,Post Renaissance Art,Rococo,Joseph-Marie Vien,Greek Woman at the Bath,0.0,0.0,0.0,0.8234152652005176,0.0,0.11772315653298836,0.05886157826649418
57727023edc2cb3880bcfefa,Renaissance Art,Early Renaissance,Pietro Perugino,Christ Handing the Keys to St. Peter,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5772842cedc2cb3880fd1c07,Modern Art,Art Informel,Willi Baumeister,Monturi with Red and Blue,0.0,0.15800273597811218,0.0,0.26333789329685364,0.0,0.2106703146374829,0.36798905608755134
57727ffeedc2cb3880efda19,Modern Art,Expressionism,Tivadar Kosztka Csontvary,Teacher in Morocco,0.0,0.0,0.0,0.5,0.0,0.166,0.334
577283d7edc2cb3880fbee6c,Modern Art,Abstract Expressionism,Marcel Barbeau,Virgin Forest,0.09523809523809522,0.09523809523809522,0.23809523809523808,0.09523809523809522,0.0,0.23809523809523808,0.23809523809523808
57728204edc2cb3880f63d8a,Modern Art,Abstract Art,S. H. Raza,Clocher du Village,0.09171597633136094,0.11242603550295859,0.2183431952662722,0.07100591715976332,0.0,0.3094674556213018,0.19704142011834322
57728228edc2cb3880f6c6a5,Modern Art,Post-Impressionism,Janos Tornyai,Wheatland with Woman of Shawl,0.0,0.0,0.07142857142857144,0.7142857142857143,0.0,0.14285714285714288,0.07142857142857144
57728943edc2cb38800d2c83,Modern Art,Magic Realism,Pierre Roy,"Boris Anrep in his Studio, 65 Boulevard Arago",0.0,0.125,0.0,0.5,0.0,0.0,0.37499999999999994
57727f7bedc2cb3880ee1357,Modern Art,Cubism,Amadeo de Souza-Cardoso,Landscape,0.0,0.0,0.0,0.45499999999999996,0.0,0.0,0.545
57727fb8edc2cb3880eecaef,Modern Art,Surrealism,Edward Weston,"Dunes, Oceano",0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182
577284e2edc2cb3880ff2f1e,Modern Art,Neo-Expressionism,Manuel Neri,Figure with Legs Crossed,0.0,0.0,0.0,0.37500000000000006,0.125,0.37500000000000006,0.125
5772798fedc2cb3880dbc750,Renaissance Art,Northern Renaissance,Martin Schongauer,Ecce Homo,0.04764397905759162,0.04764397905759162,0.09528795811518324,0.1905759162303665,0.0,0.618848167539267,0.0
57728219edc2cb3880f6b0be,Post Renaissance Art,Neoclassicism,Vieira Portuense,S&#250;plica de In&#234;s de Castro,0.0,0.11764705882352941,0.1764705882352941,0.47058823529411764,0.0,0.17647058823529413,0.058823529411764705
577283d0edc2cb3880fbe34c,Modern Art,Abstract Expressionism,Jock Macdonald,From a Riviera Window,0.1,0.0,0.1,0.2,0.0,0.0,0.6
5772812dedc2cb3880f3ad4d,Modern Art,Cubism,Louis Marcoussis,La Table,0.0,0.0,0.0,0.37500000000000006,0.0,0.0,0.625
57727cd1edc2cb3880e5de05,Modern Art,Impressionism,Max Liebermann,Woman and Her Goats in the Dunes,0.11111111111111113,0.0,0.0,0.6666666666666667,0.0,0.11111111111111113,0.11111111111111113
577280f3edc2cb3880f30270,Modern Art,Neo-Expressionism,Nyoman Masriadi,Save the Land,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0,0.3846153846153846,0.3846153846153846
57726ea4edc2cb3880b7e54e,Post Renaissance Art,Realism,Jean-Francois Millet,Harvesters Resting,0.0,0.06666666666666667,0.0,0.5333333333333333,0.0,0.3333333333333333,0.06666666666666667
577287c8edc2cb388008244b,Modern Art,Neo-Expressionism,Nathan Oliveira,Golden Head,0.0,0.17658473479948256,0.41138421733505826,0.0,0.0,0.41203104786545924,0.0
5772857fedc2cb38800120d4,Post Renaissance Art,Romanticism,John Hoppner,Mary Robinson as Perdita,0.01896333754740834,0.01896333754740834,0.0,0.9051833122629582,0.0,0.03792667509481668,0.01896333754740834
57727b73edc2cb3880e18b92,Post Renaissance Art,Realism,Fyodor Vasilyev,Rye,0.0,0.0,0.0,0.9165902841429882,0.0,0.08340971585701192,0.0
57727d89edc2cb3880e7e8d7,Renaissance Art,High Renaissance,Andrea Solario,The Lute Player,0.0,0.0,0.07142857142857142,0.7857142857142856,0.0,0.07142857142857142,0.07142857142857142
57727759edc2cb3880d461ff,Post Renaissance Art,Romanticism,Vasily Tropinin,Portrait of Alexander Pushkin,0.0,0.0,0.09999999999999999,0.6,0.0,0.19999999999999998,0.09999999999999999
57727696edc2cb3880d1f359,Renaissance Art,Early Renaissance,Filippo Lippi,Annunciation,0.0,0.02247191011235955,0.02247191011235955,0.8539325842696629,0.0,0.06741573033707865,0.033707865168539325
577285e4edc2cb388002632f,Modern Art,Pop Art,Allen Jones,Table,0.0,0.13333333333333336,0.0,0.0,0.06666666666666668,0.6666666666666667,0.13333333333333336
