Painting,Best Matching Poem Index,Similarity Score
57727630edc2cb3880d0acaf.jpg,4414,0.34887638688087463
577286c8edc2cb3880056432.jpg,4950,0.3460335433483124
57727699edc2cb3880d1f809.jpg,1637,0.3385958671569824
57727031edc2cb3880bd1598.jpg,1637,0.3381057679653168
57727435edc2cb3880cb0859.jpg,1468,0.33611157536506653
577278cfedc2cb3880d93a9e.jpg,154,0.3271710276603699
577282b9edc2cb3880f8a894.jpg,2829,0.3269481360912323
577270a3edc2cb3880bedcbd.jpg,4123,0.32672029733657837
577286ceedc2cb3880056f1b.jpg,1388,0.3261202275753021
57727307edc2cb3880c746c7.jpg,2829,0.32370349764823914
57727e33edc2cb3880ea3ff9.jpg,3980,0.32342803478240967
57727c4bedc2cb3880e413b5.jpg,4562,0.32339030504226685
57727023edc2cb3880bcfefa.jpg,1637,0.32148027420043945
57728496edc2cb3880fe6a67.jpg,4123,0.3214133083820343
57727db0edc2cb3880e877dd.jpg,2038,0.32129141688346863
57727634edc2cb3880d0b22a.jpg,1422,0.320304811000824
577281caedc2cb3880f59ad8.jpg,1999,0.3194689452648163
57726edcedc2cb3880b89e6c.jpg,4159,0.3188368082046509
57727aaaedc2cb3880df2c69.jpg,4388,0.31832507252693176
57728649edc2cb388003a757.jpg,3980,0.31810030341148376
577270e8edc2cb3880bfa325.jpg,4463,0.31803327798843384
577270a4edc2cb3880bede8d.jpg,4123,0.31785547733306885
5772842dedc2cb3880fd1d97.jpg,4123,0.3178119361400604
57727cb9edc2cb3880e56005.jpg,1489,0.3176822066307068
57728377edc2cb3880fab2d0.jpg,3773,0.3173443078994751
57726ef9edc2cb3880b9280e.jpg,2330,0.3171139061450958
57728209edc2cb3880f64546.jpg,2829,0.31711244583129883
57727564edc2cb3880ce1644.jpg,2553,0.3170487880706787
57728649edc2cb388003a6b3.jpg,4948,0.31682923436164856
57727d0aedc2cb3880e6840b.jpg,4388,0.3167118430137634
57727d71edc2cb3880e7c599.jpg,1162,0.3164871037006378
57728ad8edc2cb3880125a8d.jpg,2038,0.316301554441452
587cf645edc2c9546c0d0c0e.jpg,4810,0.316145122051239
57727e35edc2cb3880ea430e.jpg,3980,0.316023051738739
57727564edc2cb3880ce16c4.jpg,3425,0.31580251455307007
57727022edc2cb3880bcfc78.jpg,4948,0.3157651424407959
57727dafedc2cb3880e8772d.jpg,2038,0.31530657410621643
57727018edc2cb3880bcf00a.jpg,518,0.3152593970298767
57727d0aedc2cb3880e683bb.jpg,1821,0.3149968683719635
57726f84edc2cb3880bb11bd.jpg,3425,0.3147023022174835
57728600edc2cb388002e188.jpg,3623,0.3146612048149109
57728ad8edc2cb3880125b5d.jpg,3425,0.3142012059688568
57727696edc2cb3880d1f3d9.jpg,1637,0.3140116035938263
577281c5edc2cb3880f5944e.jpg,2580,0.3139844536781311
577278deedc2cb3880d95010.jpg,3980,0.3139703571796417
5772839bedc2cb3880fb3e41.jpg,4123,0.3136507272720337
57727cd1edc2cb3880e5de05.jpg,2580,0.3132040500640869
57727e81edc2cb3880eb0a26.jpg,3065,0.31316742300987244
57726e20edc2cb3880b60185.jpg,1307,0.31306758522987366
577270f2edc2cb3880bfb423.jpg,1637,0.31286752223968506
57726e1aedc2cb3880b5f7a5.jpg,1637,0.3127480149269104
57728a95edc2cb38801198e7.jpg,3362,0.3126416802406311
57727030edc2cb3880bd13f6.jpg,1637,0.31261083483695984
57727025edc2cb3880bd015a.jpg,1637,0.31258565187454224
57726e16edc2cb3880b5f175.jpg,2330,0.3123451769351959
57727551edc2cb3880ce05e0.jpg,136,0.312189519405365
577289cfedc2cb38800f0b1d.jpg,2038,0.3118602931499481
577286abedc2cb388004e65c.jpg,2580,0.31175267696380615
57728394edc2cb3880fb32da.jpg,1811,0.31166374683380127
577272feedc2cb3880c738f3.jpg,3980,0.31166020035743713
5772866cedc2cb3880042ed3.jpg,2829,0.31136202812194824
57726ef9edc2cb3880b9275b.jpg,2038,0.31127265095710754
577281c5edc2cb3880f593be.jpg,2511,0.31114932894706726
57726e21edc2cb3880b60386.jpg,1307,0.3109850287437439
5a4cf424edc2c900bcea7e1b.jpg,1307,0.31069910526275635
577278b1edc2cb3880d8b678.jpg,2855,0.3106791377067566
57726e34edc2cb3880b62370.jpg,518,0.3106035888195038
57728501edc2cb3880ffb43e.jpg,4123,0.3101946711540222
577271d8edc2cb3880c2edf6.jpg,2402,0.30993586778640747
57727016edc2cb3880bcebd8.jpg,518,0.30985361337661743
57726ef1edc2cb3880b8c046.jpg,3623,0.3096478283405304
57728395edc2cb3880fb359c.jpg,529,0.3094477355480194
577288e7edc2cb38800bedac.jpg,3755,0.30927374958992004
5772866bedc2cb3880042e93.jpg,2829,0.30900251865386963
577287cbedc2cb38800829d1.jpg,1162,0.30883219838142395
57728562edc2cb388000f4ca.jpg,914,0.30877190828323364
57727f45edc2cb3880ed8214.jpg,4123,0.30834633111953735
577274e8edc2cb3880cce6cf.jpg,4123,0.3083271086215973
57727028edc2cb3880bd078a.jpg,1637,0.3082513213157654
57728a54edc2cb38801085b2.jpg,2559,0.3082391917705536
57728947edc2cb38800d343a.jpg,1518,0.3081659972667694
57728497edc2cb3880fe6be1.jpg,4365,0.3081345558166504
57726e35edc2cb3880b625b6.jpg,518,0.30785951018333435
5772837fedc2cb3880fabf44.jpg,2692,0.307625949382782
577281a7edc2cb3880f51211.jpg,1489,0.3075248897075653
57726ea6edc2cb3880b7e812.jpg,2038,0.30750882625579834
577272d5edc2cb3880c69912.jpg,1307,0.30744120478630066
577286cbedc2cb38800569df.jpg,1468,0.3074360489845276
57726e19edc2cb3880b5f6f5.jpg,1637,0.3074217140674591
577281abedc2cb3880f515b0.jpg,4123,0.30708634853363037
57728081edc2cb3880f151df.jpg,1388,0.3070051968097687
5772750bedc2cb3880cd7301.jpg,2503,0.3069075047969818
577284acedc2cb3880fe8951.jpg,1518,0.30690276622772217
57728415edc2cb3880fca485.jpg,858,0.3068917989730835
5772867bedc2cb38800447ba.jpg,246,0.3067723214626312
